Team,No.,Driver,Rounds
Campos Racing,1,Théophile Naël,1–2
Campos Racing,2,Ugo Ugochukwu,1–2
Campos Racing,3,Patrick Heuzenroeder,1
Campos Racing,3,Ernesto Rivera,2
Trident,4,Noah Strømsted,1–2
Trident,5,Freddie Slater,1–2
Trident,6,Matteo De Palo,1–2
MP Motorsport,7,Mattia Colnaghi,1–2
MP Motorsport,8,Tuukka Taponen,1–2
MP Motorsport,9,Alessandro Giusti,1–2
ART Grand Prix,10,Taito Kato,1–2
ART Grand Prix,11,Maciej Gładysz,1–2
ART Grand Prix,12,Kanato Le,1–2
Van Amersfoort Racing,14,Hiyu Yamakoshi,1–2
Van Amersfoort Racing,15,Enzo Deligny,1–2
Van Amersfoort Racing,16,Bruno del Pino,1–2
Rodin Motorsport,17,Pedro Clerot,1–2
Rodin Motorsport,18,Brando Badoer,1–2
Rodin Motorsport,19,Christian Ho,1–2
Prema Racing,20,Louis Sharp,1–2
Prema Racing,21,James Wharton,1–2
Prema Racing,22,José Garfias,1–2
Hitech,23,Michael Shin,1–2
Hitech,24,Fionn McLaughlin,1–2
Hitech,25,Jin Nakamura,1–2
AIX Racing,26,Brad Benavides,1–2
AIX Racing,27,Yevan David,1–2
AIX Racing,28,Fernando Barrichello,1–2
DAMS Lucas Oil,29,Nicola Lacorte,1–2
DAMS Lucas Oil,30,Nandhavud Bhirombhakdi,1–2
DAMS Lucas Oil,31,Gerrard Xie,1–2
