Team,No.,Driver,Rounds
Invicta Racing,1,Rafael Câmara,1–4
Invicta Racing,2,Joshua Dürksen,1–4
Hitech,3,Ritomo Miyata,1–4
Hitech,4,Colton Herta,1–4
Campos Racing,5,Noel León,1–4
Campos Racing,6,Nikola Tsolov,1–4
DAMS Lucas Oil,7,Dino Beganovic,1–4
DAMS Lucas Oil,8,Roman Bilinski,1–4
MP Motorsport,9,Gabriele Minì,1–4
MP Motorsport,10,Oliver Goethe,1–4
Prema Racing,11,Sebastián Montoya,1–4
Prema Racing,12,Mari Boya,1–4
Rodin Motorsport,14,Martinius Stenshorne,1–4
Rodin Motorsport,15,Alex Dunne,1–4
ART Grand Prix,16,Kush Maini,1–4
ART Grand Prix,17,Tasanapol Inthraphuvasak,1–4
AIX Racing,20,Emerson Fittipaldi Jr.,1–4
AIX Racing,21,Cian Shields,1–4
Van Amersfoort Racing,22,Nico Varrone,1–4
Van Amersfoort Racing,23,Rafael Villagómez,1–4
Trident,24,Laurens van Hoepen,1–4
Trident,25,John Bennett,1–4
